From,To (Interval: 15M),PM10,PM2.5,NO,NO2,NOX,CO,SO2,NH3,Ozone,Benzene
2023-02-01 00:00:00,2023-02-01 00:15:00,95.0,35.0,13.80264746008319,90.1,56.2,0.31,4.562282730559833,17.7,28.1,0.4
2023-02-01 00:15:00,2023-02-01 00:30:00,95.0,35.0,13.80264746008319,88.0,55.1,0.33,4.562282730559833,18.3,27.1,0.4
2023-02-01 00:30:00,2023-02-01 00:45:00,95.0,35.0,13.669334636965143,87.7,55.2,0.38,3.8811126899278108,19.7,24.9,0.4
2023-02-01 00:45:00,2023-02-01 01:00:00,122.0,34.0,13.272575874765494,88.9,55.7,0.38,3.826992001445447,21.3,21.9,0.4
2023-02-01 01:00:00,2023-02-01 01:15:00,122.0,34.0,12.268865229729734,90.0,55.8,0.38,-4.853611070819582,22.3,16.7,0.4
2023-02-01 01:15:00,2023-02-01 01:30:00,122.0,34.0,11.835076801367833,90.2,55.9,0.37,0.1718128389397613,22.7,16.1,0.4
2023-02-01 01:30:00,2023-02-01 01:45:00,122.0,34.0,11.525716810511877,88.9,55.4,0.34,1.0919131211911868,23.1,22.5,0.4
2023-02-01 01:45:00,2023-02-01 02:00:00,90.0,35.0,11.22822505882517,88.9,55.2,0.35,-0.9663202309411467,23.5,20.5,0.4
2023-02-01 02:00:00,2023-02-01 02:15:00,90.0,35.0,11.288382253139211,88.9,55.9,0.34,5.7043041646931165,23.1,22.8,0.4
2023-02-01 02:15:00,2023-02-01 02:30:00,90.0,35.0,11.982120377478022,88.9,55.3,0.35,3.597542261052997,22.9,19.0,0.4
2023-02-01 02:30:00,2023-02-01 02:45:00,90.0,35.0,11.162899469699981,88.8,55.4,0.39,2.283069953781485,22.6,17.1,0.4
2023-02-01 02:45:00,2023-02-01 03:00:00,72.0,32.0,11.063947530128587,88.9,55.1,0.46,0.8252158493988766,22.5,19.1,0.4
2023-02-01 03:00:00,2023-02-01 03:15:00,72.0,32.0,9.998507460012801,88.9,55.8,0.47,-0.641259475110445,22.7,18.2,0.4
